Price/Sq,Pot,Rake 5%,Player Pool,Q1 – 15% (Reg),Q2 – 25% (Reg),Q3 – 15% (Reg),End 4th – 45% (Reg),Q1 – 15%,Q2 – 25%,Q3 – 15%,End 4th – 22.5% (OT),Final/OT – 22.5%
$5,$500,$25,$475,$71,$119,$71,$214,$71,$119,$71,$107,$107
$10,"$1,000",$50,$950,$142,$238,$142,$428,$142,$238,$142,$214,$214
$20,"$2,000",$100,"$1,900",$285,$475,$285,$855,$285,$475,$285,$428,$428
$50,"$5,000",$250,"$4,750",$712,"$1,188",$712,"$2,138",$712,"$1,188",$712,"$1,069","$1,069"
$100,"$10,000",$500,"$9,500","$1,425","$2,375","$1,425","$4,275","$1,425","$2,375","$1,425","$2,138","$2,138"
$250,"$25,000","$1,250","$23,750","$3,562","$5,938","$3,562","$10,688","$3,562","$5,938","$3,562","$5,344","$5,344"
$500,"$50,000","$2,500","$47,500","$7,125","$11,875","$7,125","$21,375","$7,125","$11,875","$7,125","$10,688","$10,688"
